title,category,context
BSc Creative Computing Year 1 Level 4,Course Year,"In the first year (level 4) of Creative Computing, you will master the basics of computing and digital creativity. Start your journey through Creative Computing by developing key skills in computing and digital design. We provide an induction to computer science (binary, hardware, operating systems, networking) and probe the social and ethical consequences that are distinct to the digital age. For the first semester of Creative Computing Year 1, the modules are: Digital Visual Design, Digital Storytelling, and Code Lab 1. For the second semester of Creative Computing, the modules are: Experience Design, Web Development, and Ideation & Creative Problem Solving.
"
BSc Creative Computing Year 2 Level 5,Course Year,"In the second year (level 5) of Creative Computing, you will enhance your digital skill sets. Core module, Code-lab II introduces the C family of programming languages. We introduce agile methodologies of production and teach you how to deploy event listeners and Application Programming Interfaces (APIs) to create interactive, data driven programs. For the first semester, the modules are: Code Lab 2, Games Development and Smartphone Apps. For the second semester, the modules are: Emerging Technologies, Creative Industry Challenge, and The Responsive Web.
"
BSc Creative Computing Year 3 Level 6,Course Year,"In the third and final year (level 6) of Creative Computing, you will kick-start your career. You will enhance your software development knowledge while setting yourself up for success in the tech / creative industries. One third of your time is spent developing a significant digital artifact. This work becomes the centerpiece of a compelling, industry-focused creative portfolio. For the first semester, the modules are: Machine Learning, Tomorrow's Web, and Cyber Security. For the second semester, the modules are: Creative Incubator, Web Apps, and Physical Computing.
"
BSc Cyber Security,Course,"Bath Spa University?s Cyber Security degree approaches cyber security from a holistic point of view ? helping you to understand cybersecurity from multiple perspectives. By highlighting key principles such as ?defence in depth? and by drawing on national level cyber frameworks and guidelines, we introduce you to a complete picture of the intentions, motivations and scope of the cyber security sector. Across the course, you?ll develop knowledge and practical skills that support the protection of systems, networks and data on a variety of levels (such as individual, business, critical national infrastructure) ? all supported by a sound understanding of computing principles. You?ll explore planning methods and tools, learn cybersecurity policies and law, investigate strategies of defence and offence, and gain an appreciation for human behaviours and needs.\nYou?ll be assessed through a combination of reports, presentations and set exercises. Tabletop exercises, technical challenges and other practical tasks allow you to demonstrate your understanding of cyber security from a real-world perspective. \nTeaching methods include lectures, seminars and discussion forums, alongside a wide range of practical activities such as scenario simulations and technical tasks. Our teaching methods are designed to enable you to graduate with critical knowledge of cybersecurity, the analytical mindset you?ll need to thrive in the industry, and an awareness of the sector, so that you can hit the ground running in your first cyber security role. Lessons will be delivered by day. The duration of this course will be 3 years. The start of the academic year will be on the month of September."
BSc Cyber Security Year 1 Level 4,Course Year,"For the first year (level 4) of Cyber Security, introduces the fundamental concepts and skills that underpin computing and cyber security, including programming, system design and development, and digital forensics. For the first semester, the modules are: Fundamentals of Cyber Security, Code Lab 1, and Introduction to Computing. For the second semester, the modules are: Digital Forensics, The Computer Industry, and Web Development.
"
BSc Cyber Security Year 2 Level 5,Course Year,"For the second year (level 5) of Cyber Security, you will build on the computing theme with an increased emphasis on the security concepts, tools and techniques that are deployed to protect digital systems. Modules cover practical security considerations such as defense through secure network design, intrusion detection, and strategies for enhancing organisational cyber resilience. For the first semester, the modules are: Network Administration, Code Lab 2, and Databases. For the second semester, the modules are: Intrusion Analysis and Response, Cyber Resilience, and The Responsive Web.
"
BSc Cyber Security Year 3 Level 6,Course Year,"For the third and final year (level 6), comprises specialist modules that deepen your understanding of the challenges and operational practices of cyber security. Modules include those that examine vulnerability assessment methodologies such as red teaming, strategies for protecting critical national infrastructure, and the law, regulations and ethical concerns that underpin the field. For the first semester, the modules are: Cyber Crime, Law, and Ethics, Research Project, and Securing the Internet of Things. For the second semester, the modules are: Cyber Offence, Cyber Defence, and Critical Infrastructure.
"
BSc Psychology,Course,"In Psychology, you?ll explore the five main psychological perspectives: biological, cognitive, developmental, individual differences and social. You?ll learn about research methods, and you?ll engage with the historical and conceptual underpinnings of psychology throughout the course. You?ll also learn to leverage science to the benefit of your fellow students, industry and for social good. You?ll cover the content and skills that define a Psychology graduate, and you?ll have the opportunity to look at conceptual and career possibilities that you may not have previously considered.\nExamination includes seen and unseen exam such as: Coursework assignments (including problem solving activities, simulations, consultancy projects, individual and group reports, as well as more conventional written forms such as essays and other discursive assignments), Course presentations, and Reflective forms of assessment (e.g. portfolios, learner logs, and peer engagement).\nYou will be exposed to different seminars, live and simulated case studies. It also includes independent and group activities (class and non-class based). Students will also get a chance to have Guest Speakers and subject specialists. A network of visiting speakers and mentors keep you in touch with developments in the tech/creative sectors, while a team of technical demonstrators reinforce the ?skills training? aspects of your learning. Lessons will be delivered by day. The duration of this course will be 3 years. The start of the academic year will be on the month of September."
BSc Psychology Year 1 Level 5,Course Year,"In the first year (level 4) of Psychology, you will build a coherent and sound foundation in Psychology enabling graduates to choose from a wide range of career options internationally within the Psychology disciplines. For the first semester, the modules are: Introduction to Psychology, Introduction to Business Psychology, and Research Methods in Psychology 1. For the second semester, the modules are: Individual Differences: Personality and Intelligence, Debates in Psychology and Critical Thinking, and Organizational Behaviour and Management.
"
BSc Psychology Year 2 Level 5,Course Year,"In the second year (level 5) of Psychology, you will develop a wide range of intellectual and analytical abilities relevant to Psychology, including those of critical thinking and analytical decision making. For the first semester, the modules are: Research Method in Psychology 2, Cognitive and Development Psychology, and Human Resource Management. For the second semester, the modules are: Biological and Social Psychology, Clinical Psychology, and Contemporary Applications of Business Psychology.
"
BSc Psychology Year 3 Level 6,Course Year,"In the third and final year (level 6) of Psychology, you will develop and practice the transferable skills necessary for continual personal development and respond positively to change during careers in Psychology. For the first semester, the modules are: Dissertation: Design and Pre-registration, Contemporary Application of Psychological Science, and Careers in Psychology. For the second semester, the modules are: Dissertation: Research Project, Work Interventions: Health and Wellbeing, and Advanced Topics in Psychology.
"
